politician_id,name,party,occupation,year_of_birth,field_title,sex,education
170287,Frank Ullrich,SPD,Dipl. Sportlehrer/ Trainer/ Pensionär,1958.0,,m,Diplomsportlehrer / Trainer 
121837,Michael Kaufmann,AfD,MdB,1964.0,Prof. Dr.,m,Ingenieur
79014,Carsten Schneider,SPD,"MdB, Parlamentsgeschäftsführer im Bundestag",1976.0,,m,Bankkaufmann
150299,Marcus Bühl,AfD,"MdB, selbstständig im Bereich Neue Medien",1977.0,,m,Dipl. Informatiker
175435,Holger Becker,SPD,MdB,1964.0,Dr.,m,Promovierter Physiker
145784,Klaus Stöber,AfD,Steuerberater,1961.0,,m,Diplom-Ökonom
79344,Manfred Grund,CDU/CSU,MdB,1955.0,,m,Dipl. Elektroingenieur
79135,Michael Meister,CDU/CSU,MdB,1961.0,Dr.,m,Diplom-Mathematiker
78792,Jens Zimmermann,SPD,MdB,1981.0,,m,Diplom-Kaufmann
175393,Andreas Larem,SPD,MdB,1964.0,,m,Groß- und Außenhandelskaufmann
145888,Björn Simon,CDU/CSU,MdB,1981.0,,m,
175472,Melanie Wegling,SPD,MdB,1990.0,,f,Politikwissenschaftlerin | M.A. Modern East Asian Studies
175403,Armand Zorn,SPD,MdB,1988.0,,m,"Politologe, Ökonom und Wirtschaftsjurist"
145885,Norbert Maria Altenkamp,CDU/CSU,MdB,1972.0,,m,Diplom Volkswirt
175441,Lennard Oehl,SPD,MdB,1993.0,,m,Volkswirt
